,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",600976848,71,115,A#,Major,-0.5898592895097968,0.21575042158891,-0.599902097523389,0.8423639296044605,-0.20200396173036464,0.8526490922558144,-0.02694250114662524,0.9341770531159989,-0.4796985587055143,-0.7518565751500398,-2.909557157402965,-0.9718003890397976,-0.7149212741383633,2.438873758647763,-0.1352189508835078,0.054101566255755164,-0.8321793990542204
82,Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",39709092,25,72,F,Major,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,0.9455576321352613,-0.5775184895769483,-0.1996345133389036,-0.6493493691691706,-0.8566203328164739,-0.16883800202885596,0.32747319436394273,-0.6735017583896115,-0.7977382878841714,-2.3477633593293774,2.3489494464252694,-0.1352189508835078,1.0620652709016718,-0.3112350952462784
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2665343922,798,0,C#,Major,-0.5898592895097968,0.11540884364339878,0.2640673343392832,-0.49915420329595045,1.9204047450045874,1.1533015509971625,5.245209792691406,0.9938702993137479,4.338640069782691,1.816203910934953,-0.9819231927362809,-0.2755519844172932,0.6339482744976919,-0.8883257935845074,-0.1352189508835078,-0.6178742368415225,-0.6585312977849064
85,El Merengue,"Marshmello, Manuel Turizo",223633238,110,323,G#,Minor,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,-1.1183164184807555,-0.3026174460047565,1.5541714959856265,0.21713862356809843,0.5163243297317552,1.2300345030161066,0.10416358687829119,0.48307862041039884,0.6817895719386503,0.06600320138777394,-0.9332879496957542,0.1432253361331892,-0.5506766565317948,-0.7453553484195634
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",1440757818,141,49,C#,Minor,-0.5898592895097968,0.21575042158891,-0.3119122869024982,-0.808735310888353,0.7029220506783667,1.5040627528620685,0.5100359732257669,1.4117230226979915,3.5614886780910444,-1.0868209863785172,1.4854482820370745,-0.49312961086182583,0.27898260380399315,-0.6635150130282729,-0.1352189508835078,-0.6850718171512503,-0.39805914588093544
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",58054811,8,"1,170",A,Major,-0.5898592895097968,-0.7876653578662024,-0.023922476281607527,0.6359765245428588,-0.5218536328925955,1.8548239547269747,-0.7469818190550601,0.05867610888234551,-0.4796985587055143,0.2902549264496675,-0.6735017583896115,1.2910069259833417,1.0599070793301304,2.079176509757788,2.092335345250068,-0.6850718171512503,-0.4848831965155924
92,Coco Chanel,"Bad Bunny, Eladio Carrion",250305248,29,82,D,Major,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,0.3263954169504563,-0.32524059631497476,1.2535190372442786,-0.4174723006901831,0.7948928119879176,0.29745283298613157,1.0718385526494478,-0.2879749654562747,-1.755079844240115,0.6339482744976919,-0.8883257935845074,-0.1352189508835078,-0.6178742368415225,-0.7453553484195634
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",144565150,69,478,D#,Major,-0.5898592895097968,0.31609199953442124,-0.3119122869024982,-0.1895730957035479,-0.2935384185776294,0.5018878903909085,0.08289400497500041,1.9091667410125672,-0.16883800202885596,0.8113106772495211,0.8686054133437356,0.6382740466497437,-1.63783201794198,-0.3937420763607915,-0.1352189508835078,-0.6178742368415225,1.7725421199854896
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",286400165,19,266,G,Minor,1.2026257358937609,0.21575042158891,1.7040163874437368,-1.2215101210115564,-0.3032127920655517,2.2556938997154385,-0.5517169192832811,1.3918252739654084,-0.16883800202885596,-1.2356940580356182,-0.2879749654562747,-1.6245332683733953,0.27898260380399315,-0.3937420763607915,-0.1352189508835078,-0.5506766565317948,-0.6585312977849064
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",1605224506,"1,034",312,C#,Major,1.2026257358937609,-0.28595746813864614,1.416026576822846,-0.3959605007651496,2.522746122014149,1.9550414409740906,3.9271717192318985,1.710189253686737,5.271221739812665,-0.19358255643591088,0.6372893375837335,1.6391311282945937,0.9179208110526509,-0.8883257935845074,-0.1352189508835078,-0.6178742368415225,-0.8321793990542204
